J_best,J_mean,J_std,EU_best,EU_mean,I_ow_best,I_ow_mean,I_ao_best,I_ao_mean,I_wago_best,I_wago_mean,n_runs,beta2,beta3,pagw_path
-5.3848108310073695,-6.8727228434613865,0.7439560062270082,-5.3848108310073695,-6.8727228434613865,36.148214307344766,36.56410261568074,4.930380657631324e-32,-8.88178419700125e-17,0.0,0.0,5,0.1,2.6826957952797246,/home/pzc/Documents/phd/programming_projects/selective_attention/sweep_blahut_arimoto_optimisation/results/artifacts/pagw_b2=0.100000_b3=2.682696.npy
-5.462976628437937,-6.888356002947499,0.7126896872547814,-5.232680078105865,-6.842296692881087,-1.4802973661668756e-16,29.33445975421178,9.618932176914252e-17,-6.957997761618401e-17,0.8584519748280206,0.17169039496560412,5,0.1,3.72759372031494,/home/pzc/Documents/phd/programming_projects/selective_attention/sweep_blahut_arimoto_optimisation/results/artifacts/pagw_b2=0.100000_b3=3.727594.npy
-7.244700846574889,-7.244700846574891,1.2560739669470201e-15,-7.24470084657489,-7.244700846574892,36.84136148790471,36.70273205179272,-1.1102230246251563e-16,-1.1102230246251563e-16,0.0,0.0,5,0.1,5.17947467923121,/home/pzc/Documents/phd/programming_projects/selective_attention/sweep_blahut_arimoto_optimisation/results/artifacts/pagw_b2=0.100000_b3=5.179475.npy
-7.244700846574889,-7.244700846574891,1.2560739669470201e-15,-7.24470084657489,-7.244700846574892,36.84136148790471,36.56410261568074,-1.1102230246251563e-16,-1.1102230246251563e-16,0.0,0.0,5,0.1,7.196856730011517,/home/pzc/Documents/phd/programming_projects/selective_attention/sweep_blahut_arimoto_optimisation/results/artifacts/pagw_b2=0.100000_b3=7.196857.npy
-5.306007242898626,-6.107349736580071,0.9289434136206566,-5.2052514248426816,-6.087198572968882,-1.4802973661668756e-16,29.057200881987804,-1.1846279009960384e-16,-9.030593949743015e-17,1.007558180559455,0.201511636111891,5,0.1,10.0,/home/pzc/Documents/phd/programming_projects/selective_attention/sweep_blahut_arimoto_optimisation/results/artifacts/pagw_b2=0.100000_b3=10.000000.npy
-5.3726523597350715,-6.495881451838963,0.9171127133013814,-5.213376453401718,-6.432171089305622,-1.4802973661668756e-16,21.966187456630838,1.1527724243208539e-16,-2.050248450467523e-17,0.9469762745182663,0.3787905098073065,5,0.11267091005390734,5.945508622856709,/home/pzc/Documents/phd/programming_projects/selective_attention/sweep_blahut_arimoto_optimisation/results/artifacts/pagw_b2=0.112671_b3=5.945509.npy
-5.325062414607899,-6.860773160181492,0.7678553727867963,-5.207105045075401,-6.837181686274993,-1.4802973661668756e-16,29.47308919032377,-6.533165917578778e-17,-1.0188417380517006e-16,0.99063596839561,0.198127193679122,5,0.11267091005390734,8.398254151663428,/home/pzc/Documents/phd/programming_projects/selective_attention/sweep_blahut_arimoto_optimisation/results/artifacts/pagw_b2=0.112671_b3=8.398254.npy
-5.306007242898627,-6.094417210474601,0.9394994038094421,-5.2052514248426816,-6.054114883252224,-1.4802973661668756e-16,22.104816892742825,-4.02240722888206e-17,-3.829408940803136e-17,1.0075581805594547,0.40302327222378187,5,0.11267091005390734,10.0,/home/pzc/Documents/phd/programming_projects/selective_attention/sweep_blahut_arimoto_optimisation/results/artifacts/pagw_b2=0.112671_b3=10.000000.npy
-6.119700846574891,-6.344700847200991,0.44999999968694965,-6.119700846574892,-6.3447008466553925,36.14821430734476,29.33445975421178,-1.1102230246251564e-16,-1.110223025019117e-16,0.0,1.2753121901848848e-10,5,0.13826738381391998,0.23374569520273827,/home/pzc/Documents/phd/programming_projects/selective_attention/sweep_blahut_arimoto_optimisation/results/artifacts/pagw_b2=0.138267_b3=0.233746.npy
-6.119700846574891,-6.794700846574893,0.5511351921262153,-6.119700846574892,-6.794700846574893,36.148214307344766,36.42547317956875,-1.1102230246251564e-16,-1.1102230246251563e-16,0.0,0.0,5,0.13826738381391998,0.33017457036781467,/home/pzc/Documents/phd/programming_projects/selective_attention/sweep_blahut_arimoto_optimisation/results/artifacts/pagw_b2=0.138267_b3=0.330175.npy
-6.119700846574891,-6.569700962048363,0.5511350978425614,-6.119700846574892,-6.569700207388008,36.14821430734476,29.057200881987804,-1.1102230246251564e-16,-1.110221972790894e-16,0.0,3.5196149735301164e-07,5,0.13826738381391998,0.46638397692422573,/home/pzc/Documents/phd/programming_projects/selective_attention/sweep_blahut_arimoto_optimisation/results/artifacts/pagw_b2=0.138267_b3=0.466384.npy
-6.119700846621679,-6.119700883498913,4.307459460647763e-08,-6.119700846603077,-6.119700870231442,0.6929431058672836,0.4154799587477932,1.894516124442159e-12,9.545731560722288e-10,4.967852715965644e-13,6.397545875816163e-10,5,0.13894954943731375,0.1,/home/pzc/Documents/phd/programming_projects/selective_attention/sweep_blahut_arimoto_optimisation/results/artifacts/pagw_b2=0.138950_b3=0.100000.npy
