beta2,beta3,J_best,J_mean,J_std,EU_best,EU_mean,I_ow_best,I_ow_mean,I_ao_best,I_ao_mean,I_wago_best,I_wago_mean,n_runs,n_valid,n_invalid,used_valid
1.2000000000000002,4.0,-5.447071608797247,-5.447071608797247,0.0,-5.22846357742311,-5.22846357742311,-1.4802973661668768e-16,-1.4802973661668768e-16,-1.5876632828727023e-16,-1.5876632828727023e-16,0.8744321254965456,0.8744321254965456,12,8,4,True
1.6,0.4,-5.761521312175444,-6.000192088870619,0.1687619477696377,-5.37172016503117,-5.870215415282305,1.0733870106460255,0.35807638975352635,0.6030996510653002,0.2010349753675371,0.0051455460913845345,0.0017319255934408369,12,12,0,True
1.6,0.8,-5.7480261175763285,-5.924391681223781,0.12470891259942299,-5.361183095830794,-5.518449754974784,1.0811616611260828,0.3600275992530299,0.5742690313857206,0.19143915185871718,0.022339901703567068,0.2290339650698391,12,12,0,True
1.6,1.2000000000000002,-5.734053423639841,-5.80242167654049,0.04834365523354315,-5.350451200421686,-5.391165825643224,1.0838141875625764,0.3612713958541924,0.5472036742237214,0.1824012247775492,0.04991991219399568,0.3567061024935592,12,12,0,True
1.6,1.6,-5.72051621806074,-5.720516218060763,7.220149455056674e-15,-5.340670850142624,-5.340670850141785,-1.4802973661668768e-16,-1.4802973661668768e-16,-1.8099463750599925e-16,-5.659839789647637e-17,0.607752588668985,0.6077525886703655,12,12,0,True
1.6,2.0,-5.640152427188911,-5.640152427188911,0.0,-5.299906466788468,-5.299906466788468,-1.4802973661668768e-16,-1.4802973661668768e-16,-1.1166341071020225e-16,-1.1166341071020225e-16,0.6804919208008859,0.6804919208008859,12,8,4,True
1.6,2.4,-5.581103969407148,-5.581103969407148,0.0,-5.273613532325988,-5.273613532325988,-1.4802973661668768e-16,-1.4802973661668768e-16,5.991329461889086e-17,5.991329461889086e-17,0.7379770489947837,0.7379770489947837,12,8,4,True
1.6,2.8000000000000003,-5.535831795387946,-5.535831795387946,0.0,-5.255899803596672,-5.255899803596672,-1.4802973661668768e-16,-1.4802973661668768e-16,-8.347424023359656e-17,-8.347424023359656e-17,0.783809577015566,0.783809577015566,12,8,4,True
1.6,3.2,-5.500027322809975,-5.500027322809975,0.0,-5.243611179143601,-5.243611179143601,-1.4802973661668768e-16,-1.4802973661668768e-16,-1.2406754622769107e-16,-1.2406754622769107e-16,0.8205316597323996,0.8205316597323996,12,8,4,True
1.6,3.6,-5.4710239712400295,-5.4710239712400295,0.0,-5.234857897730154,-5.234857897730154,-1.4802973661668768e-16,-1.4802973661668768e-16,-6.274018358034788e-17,-6.274018358034788e-17,0.8501978646355508,0.8501978646355508,12,8,4,True
1.6,4.0,-5.447071608797247,-5.447071608797247,0.0,-5.22846357742311,-5.22846357742311,-1.4802973661668768e-16,-1.4802973661668768e-16,-1.5876632828727023e-16,-1.5876632828727023e-16,0.8744321254965456,0.8744321254965456,12,8,4,True
