beta2,beta3,J_best,J_mean,J_std,EU_best,EU_mean,I_ow_best,I_ow_mean,I_ao_best,I_ao_mean,I_wago_best,I_wago_mean,n_runs
0.4,2.882758620689655,-7.244511586475193,-7.244511586475196,2.6645352591003757e-15,-7.244511586475193,-7.244511586475196,36.841361487904635,36.42547317956888,0.0,0.0,0.0,0.0,5
0.4,3.0068965517241377,-6.5444383442877,-6.824467641162698,0.34296444518704594,-6.5444383442877,-6.824467641162698,36.14821430734504,36.42547317956888,0.0,0.0,0.0,0.0,5
0.4,3.1310344827586207,-7.244511586475195,-7.244511586475196,8.881784197001252e-16,-7.244511586475195,-7.244511586475196,36.841361487904635,36.841361487904635,0.0,0.0,0.0,0.0,5
0.4,3.2551724137931033,-7.244511586475193,-7.244511586475194,8.881784197001252e-16,-7.244511586475193,-7.244511586475194,36.841361487904635,36.841361487904635,0.0,0.0,0.0,0.0,5
0.4,3.379310344827586,-7.244511586475195,-13.700457877052258,5.271258072909209,-7.244511586475195,-6.1195493377307715,36.841361487904635,15.152473172204438,0.0,0.4158748855672195,0.0,22.10481689274265,5
0.4,3.503448275862069,-7.244511586475193,-7.244511586475194,8.881784197001252e-16,-7.244511586475193,-7.244511586475194,36.841361487904635,36.841361487904635,0.0,0.0,0.0,0.0,5
0.4,3.6275862068965514,-7.244511586475185,-7.2445115864751894,4.815860319143169e-15,-7.244511586475185,-7.2445115864751894,36.14821430734504,36.42547317956888,0.0,0.0,0.0,0.0,5
0.4,3.7517241379310344,-7.244511586475193,-7.244511586475194,8.881784197001252e-16,-7.244511586475193,-7.244511586475194,36.841361487904635,36.841361487904635,0.0,0.0,0.0,0.0,5
0.4,3.875862068965517,-7.244511586475195,-12.862436639634023,4.587016597812398,-7.244511586475195,-6.1195493377307715,36.841361487904635,15.152473172204438,0.0,0.4158748855672195,0.0,22.10481689274265,5
0.4,4.0,-6.5444383442877,-6.824467641162698,0.34296444518704633,-6.5444383442877,-6.824467641162698,36.14821430734504,36.42547317956888,0.0,0.0,0.0,0.0,5
0.5241379310344828,0.4,-6.199806031362767,-6.2108346013252795,0.005514361121524236,-5.772903481244593,-5.786345627853632,1.0825712004015047,0.7645537009799753,0.20583937232899852,0.18553893040307662,0.013673078006718286,0.028200089870521534,5
0.5241379310344828,0.5241379310344828,-6.194443366188465,-6.196839163616772,0.001198974479575997,-5.760886221596231,-5.760485423156109,0.16635598428639534,0.28123666394375146,0.0005094266914279422,0.0013240931602568231,0.22673431806036368,0.22738545356395296,5
0.5241379310344828,0.6482758620689655,-5.616100856458886,-7.755689770941521,1.7469670332659353,-5.616100856458886,-5.56127577268888,36.14821430734504,14.875214299980602,1.1102230246251495e-16,0.22921068000091518,0.0,1.139088206452304,5
0.5241379310344828,0.7724137931034483,-5.548680659821769,-8.641336699143698,2.525143082091838,-5.548680659821769,-5.465540194295057,36.14821430734504,14.875174031273977,-5.423418723394455e-31,0.3338432035620863,0.0,1.9610495665538437,5
0.5241379310344828,0.896551724137931,-5.504387718401315,-10.610954241079579,4.1694941060467885,-5.504387718401315,-5.42440428205542,36.14821430734504,14.875214299980602,-1.6653345369377306e-16,0.40967299069034874,0.0,3.9492538766466074,5
0.5241379310344828,1.0206896551724138,-5.474234595796484,-26.58742592445576,17.238848532323214,-5.474234595796484,-5.411388206451851,36.14821430734504,14.875174031273977,-2.2204460492503165e-16,0.4158883083359484,0.0,20.804274877969014,5
0.5241379310344828,1.1448275862068966,-5.452986948131424,-25.504784656237597,16.3722242701231,-5.452986948131424,-5.402889147385826,36.14821430734504,14.875174031273977,0.0,0.41588830833596485,0.0,22.104816892742946,5
0.5241379310344828,1.2689655172413792,-5.437535162873312,-23.971156348845447,14.406280187387642,-5.437535162873312,-5.758154053010395,36.841361487904635,15.152473172204438,-5.551115123125764e-17,0.4158748855672195,0.0,22.10481689274265,5
0.5241379310344828,1.3931034482758622,-7.244511586475193,-22.780313899761097,12.684929470766996,-7.244511586475193,-6.1195493377307715,36.841361487904635,15.152473172204447,0.0,0.4158748855672195,0.0,22.104816892742807,5
0.5241379310344828,1.5172413793103448,-5.491803103586934,-21.13153700763747,12.066984630695407,-5.491803103586934,-5.769007641153119,36.841361487904635,15.152473172204438,8.043994110396576e-19,0.4158748855672195,0.0,22.10481689274265,5
