beta2,beta3,J_best,J_mean,J_std,EU_best,EU_mean,I_ow_best,I_ow_mean,I_ao_best,I_ao_mean,I_wago_best,I_wago_mean,n_runs
0.5241379310344828,3.503448275862069,-5.874769038478401,-7.637237946284455,1.1732749732035388,-5.577821616564345,-7.5778484619016435,4.380914908583047,30.349272172040315,0.017388069133365835,0.003477613826673167,0.9241144185929344,0.18482288371858688,5
0.5241379310344828,3.6275862068965514,-6.57785517323597,-7.777855173235968,0.9797958971132701,-6.57785517323597,-7.777855173235968,36.841361487904635,36.841361487904635,0.0,0.0,0.0,0.0,5
0.5241379310344828,3.7517241379310344,-5.58270220219954,-7.578824579028686,1.2633788568040527,-5.58270220219954,-7.578824579028686,36.841361487904635,36.42547317956888,-1.6653345369377343e-16,-3.330669073875469e-17,0.0,0.0,5
0.5241379310344828,3.875862068965517,-5.582395278475321,-7.379671215331709,1.467469657426917,-5.582395278475321,-7.379671215331709,36.841361487904635,36.841361487904635,-1.110223024625156e-16,-4.440892098500624e-17,0.0,0.0,5
0.5241379310344828,4.0,-5.5821164845873055,-7.379559697776507,1.4676062379807295,-5.5821164845873055,-7.379559697776507,36.841361487904635,36.42547317956888,1.972152263052529e-31,7.888609052210116e-32,0.0,0.0,5
0.6482758620689655,0.4,-6.38723671583937,-6.417396778535958,0.0246187596324264,-5.770376713505445,-5.820228123605623,1.0986094938336441,0.855318683100678,0.35987066678784785,0.31233556148666125,0.024696142702770124,0.04614977509738516,5
0.6482758620689655,0.5241379310344828,-6.368312602834158,-6.38257069882086,0.01164168662368168,-5.7434470557929,-5.764982726328704,1.0986094938336441,0.8553186831006758,0.35401374239278616,0.30795826564907924,0.04129185817272514,0.07471374820477746,5
0.6482758620689655,0.6482758620689655,-6.349798115597869,-6.350389508617485,0.0003264486821478905,-5.718680281131932,-5.7186802769982235,0.4361538761074666,0.30559521532929573,0.00043172353042505247,0.0004459487284271181,0.408706734675079,0.40907589797647326,5
0.6482758620689655,0.7724137931034483,-5.692575600131117,-8.225524724744155,2.0681442999104216,-5.692575600131117,-5.638132528616511,36.841361487904635,15.152432903497814,-5.551115123125774e-17,0.2908790128456239,0.0,1.6519581711092364,5
0.6482758620689655,0.896551724137931,-5.663074967885079,-8.766405465996613,2.5338587411968057,-5.663074967885079,-5.624782039761663,36.841361487904635,15.152432903497814,-1.110223024625155e-16,0.3610972722003284,0.0,2.31723805485069,5
0.6482758620689655,1.0206896551724138,-5.6436161962361595,-9.694215689424928,3.307300636896203,-5.6436161962361595,-5.6057264036845975,36.14821430734504,15.013803467385895,0.0,0.404773008463165,0.0,3.535776535700657,5
0.6482758620689655,1.1448275862068966,-5.630126417284129,-12.29787319718027,5.066156181172313,-5.630126417284129,-5.788296480760453,36.841361487904635,15.013803467385895,-5.55111512312578e-17,0.4157879461884253,0.0,6.718079179622849,5
0.6482758620689655,1.2689655172413792,-5.62039612469718,-23.54580317498596,14.636033568298544,-5.62039612469718,-5.597750716245931,36.841361487904635,15.153574318629936,0.0,0.4155526790333564,0.0,21.96203740643856,5
0.6482758620689655,1.3931034482758622,-5.613148679849744,-22.100801335877172,13.46211202117034,-5.613148679849744,-5.591952441878504,36.841361487904635,15.152432903497814,5.5511151231257815e-17,0.41588830833596485,0.0,22.104816892742946,5
0.6482758620689655,1.5172413793103448,-5.607606156755534,-20.80034913109361,12.40482269346077,-5.607606156755534,-5.58973543264082,36.841361487904635,15.152432903497814,-5.5511151231257765e-17,0.41588830833596485,0.0,22.104816892742946,5
0.6482758620689655,1.6413793103448278,-5.603272931351603,-6.188022276482227,0.47744584099888104,-5.603272931351603,-6.188022276482227,36.841361487904635,36.42547317956888,-2.220446049250312e-16,-8.881784197001248e-17,0.0,0.0,5
0.6482758620689655,1.7655172413793103,-5.59982118647479,-7.582248375883732,1.257976307538008,-5.59982118647479,-7.582248375883732,36.841361487904635,36.841361487904635,5.551115123125791e-17,1.1102230246251583e-17,0.0,0.0,5
0.6482758620689655,1.8896551724137929,-5.597027095578602,-7.581689557704495,1.2588571293609538,-5.597027095578602,-7.581689557704495,36.841361487904635,36.841361487904635,-5.5511151231257815e-17,-1.1102230246251563e-17,0.0,0.0,5
0.6482758620689655,2.013793103448276,-5.5947336134846815,-7.384606549335457,1.4614251324172305,-5.5947336134846815,-7.384606549335457,36.841361487904635,36.42547317956888,1.4791141972893967e-31,5.916456789157587e-32,0.0,0.0,5
0.6482758620689655,2.1379310344827585,-5.592827919511149,-7.383844271746044,1.4623587279854398,-5.592827919511149,-7.383844271746044,36.841361487904635,36.42547317956888,-1.110223024625156e-16,-4.440892098500624e-17,0.0,0.0,5
0.6482758620689655,2.2620689655172415,-5.59122727324549,-6.183204013239779,0.4833469841940775,-5.59122727324549,-6.183204013239779,36.841361487904635,36.841361487904635,-5.551115123125732e-17,-2.220446049250293e-17,0.0,0.0,5
0.6482758620689655,2.386206896551724,-5.589869879717363,-6.182661055828527,0.48401196849889094,-5.589869879717363,-6.182661055828527,36.841361487904635,36.841361487904635,-1.6653345369377338e-16,-6.661338147750935e-17,0.0,0.0,5
0.6482758620689655,2.5103448275862066,-5.588708834465729,-7.382196637727875,1.4643766592991216,-5.588708834465729,-7.382196637727875,36.841361487904635,36.42547317956888,-5.551115123125779e-17,-2.2204460492503117e-17,0.0,0.0,5
0.6482758620689655,2.6344827586206896,-5.587708016489836,-14.6138778710543,7.369836825124794,-5.587708016489836,-5.581776176534541,36.14821430734504,15.013803467385895,1.2325951644078308e-32,0.41588830833596485,0.0,22.104816892742946,5
0.6482758620689655,2.758620689655172,-5.586839244505791,-7.381448801743898,1.4652925675851336,-5.586839244505791,-7.381448801743898,36.14821430734504,36.564102615680795,5.551115123125786e-17,2.2204460492503144e-17,0.0,0.0,5
