beta2,beta3,J_best,J_mean,J_std,EU_best,EU_mean,I_ow_best,I_ow_mean,I_ao_best,I_ao_mean,I_wago_best,I_wago_mean,n_runs,eta
0.5241379310344828,2.262068965517241,-5.3909287382488165,-5.516142658040499,0.1022367373944677,-5.3909287382488165,-5.325268440595353,36.84136148790464,14.736544595161854,5.551115123125773e-17,-2.2922796656960337e-17,0.0,0.4317706436000559,5,-5.3909287382488165
0.5241379310344828,2.386206896551724,-5.388756921200618,-5.505230309823904,0.0951001235799789,-5.388756921200618,-5.320115161467756,36.84136148790464,14.736544595161854,9.860761315262646e-31,1.3095092593854048e-16,0.0,0.4417230436636357,5,-5.388756921200618
0.5241379310344828,2.5103448275862066,-5.386899253483404,-5.495237575869778,0.0884578698119203,-5.386899253483404,-5.315581105662309,36.84136148790464,14.736544595161854,-1.1102230246251543e-16,-6.819573000212065e-17,0.0,0.4509996907277159,5,-5.386899253483404
0.5241379310344828,2.6344827586206896,-5.3852979464702,-5.8578934751924265,0.696352700018582,-5.3852979464702,-5.683419222770849,36.84136148790464,14.736544595161854,-5.5511151231257716e-17,-5.92427104077122e-17,0.0,0.4596494098278815,5,-5.3852979464702
0.5241379310344828,2.758620689655172,-5.383907911949889,-5.849695478905918,0.7000240054774577,-5.383907911949889,-5.680147738555234,36.14821430734504,14.597915159049933,-1.1102230246251602e-16,7.299056859742283e-17,0.0,0.4677179044156815,5,-5.383907911949889
0.5241379310344828,2.882758620689655,-5.382693554853058,-5.469729317532947,0.0710644026465641,-5.382693554853058,-5.30487050512779,36.84136148790464,14.597915159049933,1.1102230246251568e-16,3.2655193190675296e-17,0.0,0.4752481626576214,5,-5.382693554853058
0.5241379310344828,3.0068965517241377,-5.381626472257307,-5.462446167139501,0.0659890045429335,-5.381626472257307,-5.30205467986943,36.84136148790464,14.736544595161854,-5.551115123125878e-17,-1.184615739414378e-16,0.0,0.4822806099982845,5,-5.381626472257307
0.5241379310344828,3.1310344827586207,-5.380683777586629,-5.455666723026718,0.0612233185797237,-5.380683777586629,-5.299535207217733,36.84136148790464,14.736544595161854,-1.110223024625159e-16,-7.063193555175339e-17,0.0,0.4888531598433078,5,-5.380683777586629
0.5241379310344828,3.2551724137931037,-5.379846863221343,-5.449340419517585,0.0567412511123899,-5.379846863221343,-5.297274361256799,36.84136148790464,14.736544595161854,-5.551115123125768e-17,-1.1814528443593974e-16,0.0,0.4950012379247691,5,-5.379846863221343
0.5241379310344828,3.379310344827586,-5.379100475206057,-5.443423334483354,0.0525193946754081,-5.379100475206057,-5.2952398992027785,36.84136148790464,14.736544595161854,5.7931972727168054e-31,2.694867600073848e-17,0.0,0.5007578157757359,5,-5.379100475206057
0.5241379310344828,3.503448275862069,-5.378432013241526,-5.437877105538168,0.0485367146131402,-5.378432013241526,-5.293404167399345,36.84136148790464,14.736544595161854,-5.5511151231254955e-17,-1.1118169625985828e-16,0.0,0.5061534660311827,5,-5.378432013241526
0.5241379310344828,3.627586206896552,-5.377830995391082,-5.432668057925412,0.0447742740674002,-5.377830995391082,-5.291743373371059,36.84136148790464,14.736544595161854,-5.551115123125875e-17,-1.5819993290818604e-16,0.0,0.5112164419006197,5,-5.377830995391082
0.5241379310344828,3.7517241379310335,-5.377288644653286,-5.427766496163921,0.0412149931710106,-5.377288644653286,-5.290236987456938,36.84136148790464,14.736544595161854,-1.110223024625168e-16,2.321244598986169e-17,0.0,0.515972777493787,5,-5.377288644653286
0.5241379310344828,3.875862068965517,-5.376797566694646,-5.423146123732076,0.0378434383519956,-5.376797566694646,-5.288867247304604,36.84136148790464,14.736544595161854,5.551115123125928e-17,8.947946251347074e-17,0.0,0.5204464038085483,5,-5.376797566694646
0.5241379310344828,4.0,-5.37635149647386,-5.418783563867892,0.0346456379489219,-5.37635149647386,-5.287618745043409,36.84136148790464,14.736544595161854,0.0,-1.0492272947588672e-16,0.0,0.5246592752979276,5,-5.37635149647386
0.6482758620689655,0.4,-6.112426970636848,-6.1166856803488425,0.0034772052236556,-5.774557984067022,-5.981514414623845,1.0981430141216326,0.439257205648653,0.1996245196969139,0.0798498431139204,0.0119750186447279,0.0047994541558779,5,-6.112426970636848
0.6482758620689655,0.5241379310344828,-6.098230059107069,-6.111597091506757,0.0109141345050537,-5.810474409236597,-5.979183641648072,1.0976129894895037,0.4390451957958015,0.1649114825789555,0.0659646001385446,0.0174909629240325,0.0160698306869892,5,-6.098230059107069
0.6482758620689655,0.6482758620689655,-6.089202348435554,-6.089785826749822,0.000762516289447,-5.8001808299344,-5.79825994768025,-1.4802973661668768e-16,0.1695956996506485,-5.955495453124997e-17,0.0001430159034405,0.1873656740628173,0.1888461746657996,5,-6.089202348435554
0.6482758620689655,0.7724137931034483,-5.548680659821762,-5.835646130654473,0.2343063257792231,-5.548680659821762,-5.593417993947033,36.84136148790464,14.736544595161854,2.2204460492503136e-16,-3.8575294945729703e-17,0.0,0.187100353870574,5,-5.548680659821762
0.6482758620689655,0.896551724137931,-5.504387718401326,-5.780030555922217,0.2250614343930238,-5.504387718401326,-5.517869716413104,36.84136148790464,14.736544595161854,-5.5511151231257315e-17,-5.904778799627056e-17,0.0,0.235040752663343,5,-5.504387718401326
0.6482758620689655,1.0206896551724138,-5.4742345957964895,-5.733753733552919,0.2118964886634364,-5.4742345957964895,-5.46997499247906,36.84136148790464,14.736544595161854,-1.6653345369377343e-16,-7.505634832386043e-17,0.0,0.2692362322684907,5,-5.4742345957964895
0.6482758620689655,1.1448275862068966,-5.452986948131416,-5.695243585926257,0.1978017164665342,-5.452986948131416,-5.436847465613344,36.84136148790464,14.736544595161854,0.0,-1.2369784755436182e-16,0.0,0.2958190067030594,5,-5.452986948131416
0.6482758620689655,1.2689655172413792,-5.4375351628733135,-5.662849959683707,0.1839687612281114,-5.4375351628733135,-5.4123546476463735,36.84136148790464,14.736544595161854,-5.551115123125773e-17,-1.430773337082372e-16,0.0,0.3178699132059951,5,-5.4375351628733135
0.6482758620689655,1.3931034482758622,-5.425980260663201,-5.635241632692602,0.170861194782251,-5.425980260663201,-5.393329221516578,36.84136148790464,14.736544595161854,-5.551115123125683e-17,-1.477770244551606e-16,0.0,0.3370090141900486,5,-5.425980260663201
0.6482758620689655,1.5172413793103448,-5.4171267873647135,-5.611410804198587,0.1586322354737622,-5.4171267873647135,-5.378014667762529,36.84136148790464,14.736544595161854,5.551115123125804e-17,-6.602244723419183e-17,0.0,0.3541182759719486,5,-5.4171267873647135
0.6482758620689655,1.6413793103448278,-5.410198845210655,-5.590604136754704,0.1473003037269862,-5.410198845210655,-5.365370454608775,36.84136148790464,14.736544595161854,-2.77555756156289e-16,-1.2491899700874453e-17,0.0,0.3696939058671117,5,-5.410198845210655
0.6482758620689655,1.7655172413793103,-5.404677937829972,-5.572255440690833,0.1368264581262973,-5.404677937829972,-5.354740468771412,36.84136148790464,14.597915159049933,-1.6653345369377326e-16,-4.931017530157779e-17,0.0,0.384026433181875,5,-5.404677937829972
0.6482758620689655,1.8896551724137929,-5.400208077442629,-5.555933829206509,0.1271495438776045,-5.400208077442629,-5.345686182286772,36.14821430734504,14.597915159049933,2.220446049250315e-16,2.8229328555033855e-17,0.0,0.3972955534897084,5,-5.400208077442629
0.6482758620689655,2.013793103448276,-5.396538756583467,-5.541306419875956,0.1182023021072134,-5.396538756583467,-5.337898764447804,36.84136148790464,14.736544595161854,3.944304526105058e-31,-8.419701897636382e-17,0.0,0.4096209336897957,5,-5.396538756583467
0.6482758620689655,2.1379310344827585,-5.393489738287204,-5.528112032159589,0.109918642663451,-5.393489738287204,-5.331150768489238,36.84136148790464,14.736544595161854,-5.551115123125772e-17,-8.715287923943812e-18,0.0,0.4210895981917864,5,-5.393489738287204
0.6482758620689655,2.262068965517241,-5.3909287382488165,-5.516142658040499,0.1022367373944677,-5.3909287382488165,-5.325268440595353,36.84136148790464,14.736544595161854,0.0,-9.456453128566956e-18,0.0,0.4317706436000559,5,-5.3909287382488165
0.6482758620689655,2.386206896551724,-5.388756921200618,-5.505230309823904,0.0951001235799789,-5.388756921200618,-5.320115161467756,36.84136148790464,14.736544595161854,9.860761315262646e-31,4.637715287775357e-17,0.0,0.4417230436636359,5,-5.388756921200618
0.6482758620689655,2.5103448275862066,-5.386899253483404,-5.495237575869778,0.0884578698119203,-5.386899253483404,-5.315581105662309,36.84136148790464,14.736544595161854,-1.1102230246251543e-16,-1.9662386623536128e-17,0.0,0.4509996907277159,5,-5.386899253483404
0.6482758620689655,2.6344827586206896,-5.3852979464702,-5.486050747191428,0.0822643173077745,-5.3852979464702,-5.31157649476985,36.84136148790464,14.736544595161854,0.0,8.508628279355796e-17,0.0,0.4596494098278813,5,-5.3852979464702
0.6482758620689655,2.758620689655172,-5.383907911949894,-5.477574744000859,0.076478648115945,-5.383907911949894,-5.308027003650174,36.84136148790464,14.736544595161854,-5.551115123125804e-17,1.213061132828075e-16,0.0,0.4677179044156815,5,-5.383907911949894
